Acacia                                _Friendship._

Cress, Indian                         _Warlike trophy._

Crocus                                _Abuse not._

Crocus, Spring                        _Youthful gladness._

Crocus, Saffron                       _Mirth._

Crown Imperial                        _Majesty. Power._

Crowfoot                              _Ingratitude._

Crowfoot (Aconite-leaved)             _Lustre._

Cuckoo Plant                          _Ardour._
<Cuckoo Flower>
Cudweed, American                     _Unceasing remembrance._

Currant                               _Thy frown will kill me._

Cuscuta                               _Meanness._

Cyclamen                              _Diffidence._

Cypress                               _Death. Mourning._

Daffodil                              _Regard._

Dahlia                                _Instability._

Daisy                                 _Innocence._

Daisy, Garden                         _I share your sentiments_

Daisy, Michaelmas                     _Farewell. Afterthought._

Daisy, Party-coloured                 _Beauty._

Daisy, Wild                           _I will think of it._

Dandelion                             _Rustic oracle._

Daphne Odora                          _Painting the lily._

Darnel (Ray grass)                    _Vice._

Dead Leaves                           _Sadness. Melancholy._

Dew Plant                             _A Serenade._
<Sundew>
Dittany of Crete                      _Birth._

Dittany of Crete, White               _Passion._

Dock                                  _Patience._

Dodder of Thyme                       _Baseness._

Dogsbane                              _Deceit. Falsehood._

Dogwood                               _Durability._

Dragon Plant                          _Snare._

Dragonwort                            _Horror._

Dried Flax                            _Utility._

Ebony Tree                            _Blackness._

Elder                                 _Zealousness._

Elm                                   _Dignity._
<Elm Tree>
Enchanter's Nightshade                _Witchcraft. Sorcery._

Endive                                _Frugality._

Eupatorium                            _Delay._

Evergreen Thorn                       _Solace in adversity._

Everlasting                           _Never-ceasing remembrance._

Fennel                                _Worthy all praise. Strength._

Fern                                  _Fascination._

Fig                                   _Argument._

Fig Marigold                          _Idleness._

Fig Tree                              _Prolific._

Filbert                               _Reconciliation._

Fir                                   _Time._

Fir Tree                              _Elevation._

Flax                                  _Domestic Industry. Fate. I feel your kindness._

Flax-leaved Goldilocks               _Tardiness._
<Goldilocks Buttercup>
Fleur-de-Lis                          _Flame. I burn. Fire._
<Fleur-de-Luce>
Flowering Fern                        _Reverie._

Flowering Reed                        _Confidence in Heaven._

Flower-of-an-Hour                     _Delicate Beauty._
<Bladder Hibiscus, Bladder Ketmia, Bladder Weed, Flower-of-the-hour>
Fly Orchid                            _Error._

Flytrap                               _Deceit._
<Venus Flytrap>
Fool's Parsley                        _Silliness._
<Fool's Cicely, Poison Parsley>
Forget Me Not                         _True love. Forget me not._
<Forget-me-not, Mouse-eared Scorpion Grass>
Foxglove                              _Insincerity._

Foxtail Grass                         _Sporting._

Frog Orchid                           _Disgust._

Fuller's Teasel                       _Misanthropy._
<Wild teasel>
Fumitory                              _Spleen._

Fuchsia, Scarlet                      _Taste._

Garden Chervil                        _Sincerity._
<Chervil, French parsley>
Garland of Roses                      _Reward of virtue._

Geranium, Dark                        _Melancholy._
<Cranesbill>
Geranium, Ivy                         _Bridal favour._

Geranium, Lemon                       _Unexpected meeting._

Geranium, Nutmeg                      _Expected meeting._

Geranium, Oak-leaved                  _True friendship._

Geranium, Pencilled                   _Ingenuity._

Geranium, Rose-scented                _Preference._

Geranium, Scarlet                     _Contorting. Stupidity._

Geranium, Silver-leaved               _Recall._

Geranium, Wild                        _Steadfast piety._

Gillyflower                           _Bonds of affection._
<Gilliflower>
Glory Flower                          _Glorious beauty._

Goat's Rue                            _Reason._
<Galega, French Lilac, Italian Fitch, Professor-weed>
Goldenrod                             _Precaution._

Gooseberry                            _Anticipation._

Gourd                                 _Extent. Bulk._

Grape, Wild                           _Charity._

Grass                                 _Submission. Utility._

Hand Flower Tree                      _Warning._
<Mexican Hand Tree, Hand-flower>
Harebell                              _Submission. Grief._
<Scottish Bluebell>
Hawkweed                              _Quicksightedness._

Hawthorn                              _Hope._
<Whitethorn, Hawberry>
Hazel                                 _Reconciliation._

Heath                                 _Solitude._

Helenium                              _Tears._

Heliotrope                            _Devotion. Faithfulness._

Hellebore                             _Scandal. Calumny._

Helmet Flower                         _Chivalry. Knight-errantry._

Hemlock                               _You will be my death._

Hemp                                  _Fate._

Henbane                               _Imperfection._
<Black Henbane, Stinking Nightshade>
Hepatica                              _Confidence._
<Liverleaf, Liverwort>
Hibiscus                              _Delicate beauty._

Holly                                 _Foresight._

Holly Herb                            _Enchantment._

Hollyhock                             _Ambition. Fecundity._

Honesty                               _Honesty. Fascination._
<Annual Honesty>
Honey Flower                          _Love sweet and secret._

Honeysuckle                           _Generous and devoted affection._

Honeysuckle, Coral                    _The colour of my fate._

Honeysuckle (French)                  _Rustic beauty._

Hop                                   _Injustice._

Hornbeam                              _Ornament._

Horse Chestnut                        _Luxury._
<Conker Tree>
Houseleek                             _Vivacity. Domestic industry._

Houstonia                             _Content._

Hoya                                  _Sculpture._

Hyacinth                              _Sport. Game. Play._

Hyacinth, White                       _Unobtrusive loveliness._

Hydrangea                             _You are cold. A boaster. Heartlessness._
<Hortensia>
Hyssop                                _Cleanliness._

Iceland Moss                          _Health._

Ice Plant                             _Your looks freeze me._

Iris                                  _Message._

Iris, German                          _Flame._

Ivy                                   _Fidelity. Marriage._

Ivy, Sprig of, with tendrils          _Assiduous to please._

Jacob's Ladder                        _Come down._

Jasmine                               _Amiability._

Jasmine, Cape                         _I'm too happy. Transport of joy._

Jasmine, Carolina                     _Separation._

Jasmine, Indian                       _Attachment. I attach myself to you._

Jasmine, Spanish                      _Sensuality._

Jasmine, White                        _Amiableness._

Jasmine, Yellow                       _Grace and elegance._

Jonquil                               _I desire a return of affection._

Judas Tree                            _Unbelief. Betrayal._

Juniper                               _Succour. Protection._

Justicia                              _The perfection of female loveliness._
<Water-willow, Shrimp Plant>
Kennedia                              _Mental Beauty._

Kingcup                               _Desire of Riches._
<Marsh-marigold>
Laburnum                              _Forsaken. Pensive Beauty._
<Golden Chain, Golden Rain>
Lady's Slipper                        _Capricious Beauty. Win me and wear me._
<Lady's Slipper Orchid>
Lagerstroemia, Indian                 _Eloquence._
<Crape Myrtle, Crepe Myrtle>
Lantana                               _Rigour._
<Shrub Verbena>
Larch                                 _Audacity. Boldness._

Larkspur                              _Lightness. Levity._

Larkspur, Pink                        _Fickleness._

Larkspur, Purple                      _Haughtiness._

Laurel                                _Glory._

Laurel, Common, in flower             _Perfidy._

Laurel, Ground                        _Perseverance._

Laurel, Mountain                      _Ambition._

Laurel-leaved Magnolia                _Dignity._

Laurustine                            _A token. I die if neglected._

Lavender                              _Distrust._

Lemon                                 _Zest._

Lemon Blossoms                        _Fidelity in lore._

Lettuce                               _Cold-heartedness._

Lichen                                _Dejection. Solitude._

Lilac, Field                          _Humility._

Lilac, Purple                         _First emotions of love._

Lilac, White                          _Youthful Innocence._

Lily, Day                             _Coquetry._

Lily, Imperial                        _Majesty._

Lily, White                           _Purity. Sweetness. Purity and Modesty._

Lily, Yellow                          _Falsehood. Gaiety._

Lily of the Valley                    _Return of happiness._
<Lily-of-the-valley>
Lime Tree                             _Conjugal love._
<Linden>
Lint                                  _I feel my obligations._

Live Oak                              _Liberty._
<Evergreen Oak>
Licorice, Wild                        _I declare against you._

Lobelia                               _Malevolence._

Locust Tree                           _Elegance._

Locust Tree (green)                   _Affection beyond the grave._

London Pride                          _Frivolity._
<St Patrick's Cabbage, Whimsey, Prattling Parnell, Look Me Up And Kiss Me>
Lote Tree                             _Concord._
<European Nettle Tree, Mediterranean Hackberry, Honeyberry>
Lotus                                 _Eloquence._

Lotus Flower                          _Estranged love._

Lotus Leaf                            _Recantation._

Love in a Mist                        _Perplexity._

Love lies Bleeding                    _Hopeless, not heartless._

Lucerne                               _Life._
<Alfalfa>
Lupine                                _Voraciousness. Imagination._

Madder                                _Calumny._
<Common Madder, Rose Madder>
Magnolia                              _Love of Nature._

Magnolia, Swamp                       _Perseverance._

Mallow                                _Mildness._

Mallow, Marsh                         _Beneficence._

Mallow, Syrian                        _Consumed by love._

Mallow, Venetian                      _Delicate beauty._

Manchineal Tree                       _Falsehood._
<Manchineel Tree, Manchioneel Tree>
Mandrake                              _Horror._

Maple                                 _Reserve._

Marigold                              _Grief._

Marigold, African                     _Vulgar minds._

Marigold, French                      _Jealousy._

Marigold, Garden                      _Uneasiness._

Marigold, Prophetic                   _Prediction._

Marigold and Cypress                  _Despair._

Marjoram                              _Blushes._

Marvel of Peru                        _Timidity._
<Four O'Clock Flower>
Meadow Lychnis                        _Wit._
<Ragged Robin, Ragged-robin>
Meadow Saffron                        _My best days are past._
<Colchicum>
Meadowsweet                           _Uselessness._

Mercury                               _Goodness._

Mesembryanthemum                      _Idleness._

Mezereon                              _Desire to please._
<Mezereum, February Daphne, Spurge Laurel, Spurge Olive>
Mignonette                            _Your qualities surpass your charms._

Milfoil                               _War._

Milk Vetch                            _Your presence softens my pains._

Milkwort                              _Hermitage._

Mimosa                                _Despondency. Sensitiveness. Agitation. Sensibility. Delicate feelings._
<Sensitive Plant, Humble Plant, Sleepy Plant, Action Plant, Touch-me-not, Shameplant, Zombie Plant, Shy Plant, Moving Plant>
Mint                                  _Virtue._

Mistletoe                             _I surmount difficulties._

Mock Orange                           _Counterfeit._

Moonwort                              _Forgetfulness._

Morning Glory                         _Affectation._

Moschatel                             _Weakness._

Moss                                  _Maternal love._

Mosses                                _Ennui._

Motherwort                            _Concealed love._

Mountain Ash                          _Prudence._
<Rowan>
Mourning Bride                        _Unfortunate attachment. I have lost all._

Mouse-eared Chickweed                 _Ingenuous simplicity._

Mudwort                               _Tranquillity._

Mugwort                               _Happiness._

Mulberry Tree (Black)                 _I shall not survive you._

Mulberry Tree (White)                 _Wisdom._

Mushroom                              _Suspicion._

Musk Plant                            _Weakness._
<Muskflower, Musk Monkeyflower, Common Musk, Eyebright>
Mustard Seed                          _Indifference._

Myrobalan                             _Privation._

Myrrh                                 _Gladness._

Myrtle                                _Love._

Narcissus                             _Egotism._

Nasturtium                            _Patriotism._
<Watercress, Yellowcress>
Nettle, Burning                       _Slander._

Nettle Tree                           _Concert._

Night-blooming Cereus                 _Transient beauty._

Night Convolvulus                     _Night._
<Dwarf Morning Glory, Dwarf Convolvulus>
Nightshade                            _Truth._

Oak Leaves                            _Bravery._

Oak Tree                              _Hospitality._

Oak (White)                           _Independence._

Oats                                  _The witching soul of music._

Oleander                              _Beware._
<Nerium>
Olive                                 _Peace._

Orange Blossoms                       _Your purity equals your loveliness._

Orange Flowers                        _Chastity. Bridal festivities._

Orange Tree                           _Generosity._

Orchid                                _A Belle._

Osier                                 _Frankness._
<Basket Willow>
Osmunda                               _Dreams._

Ox Eye                                _Patience._
<Oxeye, Ox-eye>
Palm                                  _Victory._

Pansy                                 _Thoughts._

Parsley                               _Festivity._

Pasque Flower                         _You have no claims._
<Pasqueflower, Wind Flower, Prarie Crocus, Easter Flower, Meadow Anemone>
Passion Flower                        _Religious superstition._

Patience Dock                         _Patience._
<Garden Patience, Herb Patience, Monk's Rhubarb>
Pea, Everlasting                      _An appointed meeting. Lasting Pleasure._

Pea, Sweet                            _Departure. Delicate pleasures._

Peach                                 _Your qualities, like your charms, are unequalled._

Peach Blossom                         _I am your captive._

Pear                                  _Affection._

Pear Tree                             _Comfort._

Pennyroyal                            _Flee away._
<Pennyrile, Squaw Mint, Mosquito Plant, Pudding Grass>
Peony                                 _Shame. Bashfulness._

Peppermint                            _Warmth of feeling._

Periwinkle, Blue                      _Early friendship._

Periwinkle, White                     _Pleasures of memory._

Persicaria                            _Restoration._
<Knotweed, Smartweed>
Persimmon                             _Bury me amid Nature's beauties._

Pheasant's Eye                        _Remembrance._

Phlox                                 _Unanimity._

Pigeon Berry                          _Indifference._
<Saskatoon, Pacific Serviceberry, Western Serviceberry, Alder-leaf Shadbush, Dwarf Shadbush, Chuckley Pear, Western Juneberry>
Pimpernel                             _Change. Assignation._

Pine                                  _Pity._

Pineapple                            _You are perfect._

Pine, Pitch                           _Philosophy._

Pine, Spruce                          _Hope in adversity._

Pink                                  _Boldness._

Pink, Carnation                       _Woman's love._

Pink, Indian, Double                  _Always lovely._

Pink, Indian, Single                  _Aversion._

Pink, Mountain                        _Aspiring._

Pink, Red, Double                     _Pure and ardent love._

Pink, Single                          _Pure love._

Pink, Variegated                      _Refusal._

Pink, White                           _Ingeniousness. Talent._

Plane Tree                            _Genius._

Plum, Indian                          _Privation._

Plum Tree                             _Fidelity._

Plum, Wild                            _Independence._

Polyanthus                            _Pride of riches._

Polyanthus, Crimson                   _The heart's mystery._

Polyanthus, Lilac                     _Confidence._

Pomegranate                           _Foolishness._

Pomegranate, Flower                   _Mature elegance._

Poplar, Black                         _Courage._

Poplar, White                         _Time._

Poppy, Red                            _Consolation._

Poppy, Scarlet                        _Fantastic extravagance._

Poppy, White                          _Sleep. My bane. My antidote._

Potato                                _Benevolence._

Prickly Pear                          _Satire._

Pride of China                        _Dissension._
<Goldenrain Tree, Pride of India, China Tree, Varnish Tree>
Primrose                              _Early youth._

Primrose, Evening                     _Inconstancy._

Primrose, Red                         _Unpatronized merit._

Privet                                _Prohibition._

Purple Clover                         _Provident._

Pyrus Japonica                        _Fairies' fire._
<Pieris Japonica, Japanese Andromeda, Japanese Pieris>
Quaking Grass                         _Agitation._

Quamoclit                             _Busybody._
<Cypress Vine, Cypressvine Morning Glory, Cardinal Creeper, Cardinal Vine, Star Glory, Hummingbird Vine>
Queen's Rocket                        _You are the queen of coquettes. Fashion._
<Dame's Rocket>
Quince                                _Temptation._

Ranunculus                            _You are radiant with charms._

Ranunculus, Garden                    _You are rich in attractions._

Ranunculus, Wild                      _Ingratitude._

Raspberry                             _Remorse._

Ray Grass                             _Vice._

Red Catchfly                          _Youthful lore._
<Red Campion>
Reed                                  _Complaisance. Music._

Reed, Split                           _Indiscretion._

Rhododendron (Rosebay)                _Danger. Beware._

Rhubarb                               _Advice._

Rocket                                _Rivalry._
<Arugula, Eruca>
Rose                                  _Love._

Rose, Austrian                        _Thou art all that is lovely._

Rose, Bridal                          _Happy love._

Rose, Burgundy                        _Unconscious beauty._

Rose, Cabbage                         _Ambassador of love._

Rose, Campion                         _Only deserve my love._

Rose, Carolina                        _Love is dangerous._

Rose, China                           _Beauty always new._

Rose, Christmas                       _Relieve my anxiety._

Rose, Daily                           _Thy smile I aspire to._

Rose, Damask                          _Brilliant complexion._

Rose, Deep Red                        _Bashful shame._

Rose, Dog                             _Pleasure and pain._

Rose, Guelder                         _Winter. Age._

Rose, Hundred-leaved                  _Pride. Dignity of mind._

Rose, Japan                           _Beauty is your only attraction._

Rose, Maiden Blush                    _If you love me, you will find it out._

Rose, Multiflora                      _Grace._

Rose, Mundi                           _Variety._

Rose, Musk                            _Capricious beauty._

Rose, Musk, Cluster                   _Charming._

Rose, Single                          _Simplicity._

Rose, Thornless                       _Early attachment._

Rose, Unique                          _Call me not beautiful._

Rose, White                           _I am worthy of you._

Rose, White (dried)                   _Death preferable to loss of innocence._

Rose, White (withered)                _Transient impressions._

Rose, Yellow                          _Decrease of love. Jealously._

Rose, York and Lancaster              _War._

Rose, Full-blown, placed over two Buds		_Secrecy._

Rose, White and Red together          _Unity._

Roses, Crown of                       _Reward of virtue._

Rosebud, Red                          _Pure and lovely._

Rosebud, White                        _Girlhood._

Rosebud, Moss                         _Confession of love._

Rosemary                              _Remembrance._

Rudbeckia                             _Justice._
<Coneflower, Black-eyed Susan>
Rue                                   _Disdain._
<Herb-of-grace>
Rush                                  _Docility._

Rye Grass                             _Changeable disposition_
<Ryegrass>
Saffron                               _Beware of excess._

Sage                                  _Domestic virtue._

Sage, Garden                          _Esteem._

Sainfoin                              _Agitation._

Saint John's Wort                     _Animosity. Superstition._

Sardony                               _Irony._
<Hairy Buttercup, Sardinian Plant>
Saxifrage, Mossy                      _Affection._

Scabious                              _Unfortunate love._
<Pincushion Flower>
Scabious, Sweet                       _Widowhood._

Scarlet Lychnis                       _Sunbeaming eyes._

Schinus                               _Religions enthusiasm._
<Pepper Tree>
Scots Pine                            _Elevation._
<Scotch Fir>
Senvy                                 _Indifference._
<Mustard Plant>
Shamrock                              _Light heartedness._

Snakeroot                             _Horror._

Snapdragon                            _Presumption._

Snowball                              _Bound._

Snowdrop                              _Hope._

Sorrel                                _Affection._

Sorrel, Wild                          _Wit ill-timed._

Sorrel, Wood                          _Joy. Maternal tenderness._

Southernwood                          _Jest. Bantering._
<Southern Wormwood, Lad's Love>
Spearmint                             _Warmth of sentiment._

Speedwell                             _Female fidelity. Fidelity._
<Veronica, Bird's Eye, Gypsyweed>
Speedwell, Germander                  _Facility._

Speedwell, Spiked                     _Semblance._

Spider Orchid                         _Adroitness._

Spiderwort                            _Esteem not love._
<Indian Paint>
Spindle Tree                          _Your charms are engraven on my heart._

Star of Bethlehem                     _Purity._

Starwort                              _Afterthought._
<Stitchwort, Chickweed>
Starwort, American                    _Cheerfulness in old age._

Stock                                 _Lasting beauty._

Stock, Ten Week                       _Promptness._

Stonecrop                             _Tranquillity._

Straw, Broken                         _Rupture of a contract._

Straw, Whole                          _Union._

Strawberry Tree                       _Esteem and love._

Sumach, Venice                        _Splendour. Intellectual excellence._
<Sumac, Sumak, Soumak, Sumaq>
Sunflower, Dwarf                      _Adoration._

Sunflower, Tall                       _Haughtiness._

Swallow-wort                          _Cure for heartache._

Sweetbrier, American                  _Simplicity._
<Sweet Briar, Eglantine>
Sweetbrier, European                  _Poetry. I wound to heal._

Sweetbrier, Yellow                    _Decrease of love._

Sweet Sultan                          _Felicity._

Sweet William                         _Gallantry._

Sycamore                              _Curiosity._

Syringa                               _Memory._

Syringa, Carolina                     _Disappointment._

Tamarisk                              _Crime._
<Tamarix, Salt Cedar>
Tansy (Wild)                          _I declare war against you._

Teasel                                _Misanthropy._

Tendrils of Climbing Plants           _Ties._

Thistle, Common                       _Austerity._

Thistle, Fuller's                     _Misanthropy_

Thistle, Scotch                       _Retaliation._

Thorn Apple                           _Deceitful charms._
<Jimson Weed, Jimsonweed, Devil's Snare>
Thorn, Branch of                      _Severity._

Thrift                                _Sympathy._

Throatwort                            _Neglected beauty._

Thyme                                 _Activity._

Tiger Flower                          _For once may pride befriend me._
<Peacock Flower, Tiger Iris, Jockey's Cap Lily, Mexican Shellflower>
Traveller's Joy                       _Safety._
<Old Man's Beard>
Tree of Life                          _Old age._

Tremella                              _Resistance._

Trillium Pictum                       _Modest beauty._
<Painted Trillium, Painted Lady>
Truffle                               _Surprise._

Trumpet Flower                        _Fame._

Tuberose                              _Dangerous pleasures._

Tulip                                 _Fame._

Tulip, Red                            _Declaration of love._

Tulip, Variegated                     _Beautiful eyes._

Tulip, Yellow                         _Hopeless love._

Turnip                                _Charity._

Valerian                              _An accommodating disposition._

Valerian, Greek                       _Rupture._

Venus' Car                            _Fly with me._
<Bleeding Heart>
Venus' Looking Glass                  _Flattery._
<Clasping Venus' Looking Glass, Clasping Bellflower>
Vernal Grass                          _Poor, but happy._
<Sweet Vernal Grass>
Vervain                               _Enchantment._

Vine                                  _Intoxication._

Violet, Blue                          _Faithfulness._
<Viola>
Violet, Dame                          _Watchfulness._

Violet, Sweet                         _Modesty._

Violet, Yellow                        _Rural happiness._

Virginian Spiderwort                  _Momentary happiness._
<Virginia Spiderwort>
Virgin's Bower                        _Filial love._

Volkamenia                            _May you be happy._

Walnut                                _Intellect. Stratagem._

Wallflower                           _Fidelity in adversity._

Water Lily                            _Purity of heart._

Watermelon                            _Bulkiness._

Wax Plant                             _Susceptibility._
<Porcelainflower>
Wheat Stalk                           _Riches._

Whin                                  _Anger._
<Gorse, Furze>
White Mullein                         _Good nature._

Whortleberry                          _Treason._

Willow, Creeping                      _Love forsaken._

Willow, Water                         _Freedom._

Willow, Weeping                       _Mourning._

Willow Herb                           _Pretension._

Willow, French                        _Bravery and humanity._

Winter Cherry                         _Deception._

Witch Hazel                           _A spell._

Woodbine                              _Fraternal love._

Wormwood                              _Absence._

Xeranthemum                           _Cheerfulness under adversity._

Yew                                   _Sorrow._

Zinnia                                _Thoughts of absent friends._

END
