Absence                               _Wormwood._
Fame speaks him great and good        _Apple Blossom._

Fantastic extravagance                _Scarlet Poppy._

Farewell                              _Michaelmas Daisy._

Fascination                           _Fern._

Fascination                           _Honesty._

Fashion                               _Queen's Rocket._

Fecundity                             _Hollyhock._

Felicity                              _Sweet Sultan._

Female fidelity                       _Speedwell._

Festivity                             _Parsley._

Fickleness                            _Pink Larkspur._

Filial love                           _Virgin's bower._

Fidelity                              _Veronica. Ivy._

Fidelity                              _Plum Tree._

Fidelity in adversity                 _Wallflower._

Fidelity in love                      _Lemon Blossoms._

Fire                                  _Fleur-de-Luce._

First emotions of love                _Purple Lilac._

Flame                                 _Fleur-de-lis. Iris._

Flattery                              _Venus' Looking-glass._

Flee away                             _Pennyroyal._

Fly with me                           _Venus' Car._

Folly                                 _Columbine._

Foppery                               _Cockscomb Amaranth._

Foolishness                           _Pomegranate._

Foresight                             _Holly._

Forgetfulness                         _Moonwort._

Forget me not                         _Forget Me Not._

For once may pride befriend me        _Tiger Flower._

Forsaken                              _Garden Anemone._

Forsaken                              _Laburnum._

Frankness                             _Osier._

Fraternal love                        _Woodbine._

Freedom                               _Water Willow._

Freshness                             _Damask Rose._

Friendship                            _Acacia._

Friendship, early                     _Blue Periwinkle._

Friendship, true                      _Oak-leaved Geranium._

Friendship, unchanging                _Arbor Vitæ._

Frivolity                             _London Pride._

Frugality                             _Chicory. Endive._

Gaiety                                _Butterfly Orchis._

Gaiety                                _Yellow Lily._

Gallantry                             _Sweet William._

Generosity                            _Orange Tree._

Generous and devoted affection        _French Honeysuckle._

Genius                                _Plane Tree._

Gentility                             _Corn Cockle._

Girlhood                              _White Rosebud._

Gladness                              _Myrrh._

Glory                                 _Bay Tree._

Glory                                 _Laurel._

Glorious beauty                       _Glory Flower._

Goodness                              _Bonus Henricus._

Goodness                              _Mercury._

Good education                        _Cherry Tree._

Good wishes                           _Sweet Basil._

Good nature                            _White Mullein._

Gossip                                _Cobæa._

Grace                                 _Multiflora Rose._

Grace and elegance                    _Yellow Jasmine._

Grandeur                              _Ash Tree_

Gratitude                             _Small White Bell-flower._

Grief                                 _Harebell._

Grief                                 _Marigold._

Happy love                            _Bridal Rose._

Hatred                                _Basil._

Haughtiness                           _Purple Larkspur._

Haughtiness                           _Tall Sunflower._

Health                                _Iceland Moss._

Hermitage                             _Milkwort._

Hidden worth                          _Coriander._

Honesty                               _Honesty._

Hope                                  _Flowering Almond._

Hope                                  _Hawthorn._

Hope                                  _Snowdrop._

Hope in adversity                     _Spruce Pine._

Hopeless love                         _Yellow Tulip._

Hopeless, not heartless               _Love Lies Bleating._

Horror                                _Mandrake._

Horror                                _Dragonswort._

Horror                                _Snakesfoot._

Hospitality                           _Oak Tree._

Humility                              _Broom._

Humility                              _Small Bindweed._

Humility                              _Field Lilac._

I am too happy                        _Cape Jasmine._

I am your captive                     _Peach Blossom._

I am worthy of you                    _White Rose._

I change but in death                 _Bay Leaf._

I declare against you                 _Belvedere._

I declare against you                 _Liquorice._

I declare war against you             _Wild Tansy._

I die if neglected                    _Laurestina._

I desire a return of affection        _Jonquil._

I feel my obligations                 _Lint._

I feel your kindness                  _Flax._

I have lost all                       _Mourning Bride._

I live for thee                       _Cedar Leaf._

I love                                _Red Chrysanthemum._

I partake of your sentiments          _Double China Aster._

I partake your sentiments             _Garden Daisy._

I shall die to-morrow                 _Gum Cistus._

I shall not survive you               _Black Mulberry._

I surmount difficulties               _Mistletoe._

I will think of it                    _Single China Aster._

I will think of it                    _Wild Daisy._

I wound to heal                       _Eglantine (Sweetbrier)._

If you love me, you will find it out  _Maiden Blush Rose._

Idleness                              _Mesembryanthemum._

Ill-natured beauty                    _Citron._

Imagination                           _Lupine._

Immortality                           _Amaranth (Globe)._

Impatience                            _yellow Balsam._

Impatient of absence                  _Corchorus._

Impatient resolves                    _Red Balsam._

Imperfection                          _Henbane._

Importunity                           _Burdock._

Inconstancy                           _Evening Primrose._

Incorruptible                         _Cedar of Lebanon._

Independence                          _Wild Plum Tree._

Independence                          _White Oak._

Indifference                          _Everflowering Candytuft._

Indifference                          _Mustard Seed._

Indifference                          _Pigeon Berry._

Indifference                          _Senvy._

Indiscretion                          _Split Reed._

Industry                              _Red Clover._

Industry, Domestic                    _Flax._

Ingenuousness                         _White Pink._

Ingenuity                             _Pencilled Geranium._

Ingenuous simplicity                  _Mouse-eared Chickweed._

Ingratitude                           _Crowfoot._

Innocence                             _Daisy._

Insincerity                           _Foxglove._

Insinuation                           _Great Bindweed._

Inspiration                           _Angelica._

Instability                           _Dahlia._

Intellect                             _Walnut._

Intoxication                          _Vine._

Irony                                 _Sardony._

Jealousy                              _French Marigold._

Jealousy                              _Yellow Rose._

Jest                                  _Southernwood._

Joy                                   _Wood Sorrel._

Joys to come                          _Lesser Celandine._

Justice                               _Rudbeckia._

Justice shall be done to you          _Coltsfoot._

Justice shall be done to you          _Sweet-scented Tussilage._

Knight-errantry                       _Helmet Flower (Monkshood)._

Lamentation                           _Aspon Tree._

Lasting beauty                        _Stock._

Lasting pleasures                     _Everlasting Pea._

Let me go                             _Butterfly Weed._

Levity                                _Larkspur._

Liberty                               _Live Oak._

Life                                  _Lucern._

Lightheartedness                      _Shamrock._

Lightness                             _Larkspur._

Live for me                           _Arbor Vitæ._

Love                                  _Myrtle._

Love                                  _Rose._

Love, forsaken                        _Creeping Willow._

Love, returned                        _Ambrosia._

Love is dangerous                     _Carolina Rose._

Lustre                                _Aconite-leaved Crowfoot,
                                       or Fair Maid of France._

Luxury                                _Chesnut Tree._

Magnificent beauty                    _Calla, Æthiopica._

Majesty                               _Crown Imperial._

Malevolence                           _Lobelia._

Marriage                              _Ivy._

Maternal affection                    _Cinquefoil._

Maternal love                         _Moss._

Maternal tenderness                   _Wood Sorrel._

Matrimony                             _American Linden._

May you be happy                      _Volkamenia_

Meanness                              _Cuscuta._

Meekness                              _Birch._

Melancholy                            _Dark Geranium._

Melancholy                            _Dead Leaves._

Mental beauty                         _Clematis._

Mental beauty                         _Kennedia._

Message                               _Iris._

Mildness                              _Mallow._

Mirth                                 _Saffron Crocus._

Misanthropy                           _Aconite (Wolfsbane)._

Misanthropy                           _Fuller's Teasel._

Modest beauty                         _Trillium Pictum._

Modest genius                         _Creeping Cereus._

Modesty                               _Violet._

Modesty and purity                    _White Lily._

Momentary happiness                   _Virginian Spiderwort._

Mourning                              _Weeping Willow_

Music                                 _Bundles of Reed with their
                                       panicles._

My best days are past                 _Colchicum, or Meadow Saffron._

My regrets follow you to the grave    _Asphodel._

Neatness                              _Broom._

Neglected beauty                      _Throatwort._

Never-ceasing remembrance             _Everlasting._

Old age                               _Tree of Life._

Only deserve my love                  _Campion Rose._

Painful recollections                 _Flos Adonis._

Painting                              _Auricula._

Painting the lily                     _Daphne Odora._

Passion                               _White Dittany._

Paternal error                        _Cardamine._

Patience                              _Dock. Ox Eye._

Patriotism                            _American Elm._

Patriotism                            _Nasturtium._

Peace                                 _Olive._

Perfected loveliness                  _Camellia Japonica, White._

Perfidy                               _Common Laurel, in flower._

Pensive beauty                        _Laburnum._

Perplexity                            _Love in a Mist._

Persecution                           _Chequered Fritillary._

Perseverance                          _Swamp Magnolia._

Persuasion                            _Althea Frutex._

Persuasion                            _Syrian Mallow._

Pertinacity                           _Clotbur._

Pity                                  _Pine._

Pleasure and pain                     _Dog Rose._

Pleasure, lasting                     _Everlasting Pea._

Pleasures of memory                   _White Periwinkle._

Popular favour                        _Cistus, or Rock Rose._

Poverty                               _Evergreen Clematis._

Power                                 _Imperial Montague._

Power                                 _Cress._

Precaution                            _Golden Rod._

Prediction                            _Prophetic Marigold._

Pretension                            _Spited Willow Herb._

Pride                                 _Amaryllis._

Pride                                 _Hundred-leaved Rose._

Privation                             _Indian Plum._

Privation                             _Myrobalan._

Profit                                _Cabbage._

Prohibition                           _Privet._

Prolific                              _Fig Tree._

Promptness                            _Ten-week Stock._

Prosperity                            _Beech Tree._

Protection                            _Bearded Crepis._

Prudence                              _Mountain Ash._

Pure love                             _Single Red Pink._

Pure and ardent love                  _Double Red Pink._

Pure and lovely                       _Red Rosebud._

Purity                                _Star of Bethlehem._

Quarrel                               _Broken Corn-straw._

Quicksightedness                      _Hawk-weed._

Reason                                _Goat's Rue._

Recantation                           _Lotus Leaf._

Recall                                _Silver-leaved Geranium._

Reconciliation                        _Filbert._

Reconciliation                        _Hazel._

Refusal                               _Striped Carnation._

Regard                                _Daffodil._

Relief                                _Balm of Gilead._

Relieve my anxiety                    _Christmas Rose._

Religious superstition                _Aloe._

Religious superstition                _Passion Flower._

Religious enthusiasm                  _Schinus._

Remembrance                           _Rosemary._

Remorse                               _Bramble._

Remorse                               _Raspberry._

Rendezvous                            _Chickweed._

Reserve                               _Maple._

Resistance                            _Tremella Nestoc._

Restoration                           _Persicaria._

Retaliation                           _Scotch Thistle._

Return of happiness                   _Lily of the Valley._

Revenge                               _Birdsfoot Trefoil._

Reverie                               _Flowering Fern._

Reward of merit                       _Bay Wreath._

Reward of virtue                      _Garland of Roses._

Riches                                _Corn._

Rigour                                _Lantana._

Rivalry                               _Rocket._

Rudeness                              _Clotbur._

Rudeness                              _Xanthium._

Rural happiness                       _Yellow Violet._

Rustic beauty                         _French Honeysuckle._

Rustic oracle                         _Dandelion._

Sadness                               _Dead Leaves._

Safety                                _Traveller's Joy._

Satire                                _Prickly Pear._

Sculpture                             _Hoya._

Secret Love                           _Yellow Acacia._

Semblance                             _Spiked Speedwell._

Sensitiveness                         _Mimosa._

Sensuality                            _Spanish Jasmine._

Separation                            _Carolina Jasmine._

Severity                              _Branch of Thorns._

Shame                                 _Peony._

Sharpness                             _Barberry Tree._

Sickness                              _Anemone (Zephyr Flower)._

Silliness                             _Fool's Parsley._

Simplicity                            _American Sweetbrier._

Sincerity                             _Garden Chervil._

Slighted love                         _Yellow Chrysanthemum._

Snare                                 _Catchfly. Dragon Plant._

Solitude                              _Heath._

Sorrow                                _Yew._

Sourness of Temper                    _Barberry._

Spell                                 _Circæa._

Spleen                                _Fumitory._

Splendid beauty                       _Amaryllis._

Splendour                             _Austurtium._

Sporting                              _Fox-tail Grass._

Stedfast Piety                        _Wild Geranium._

Stoicism                              _Box Tree._

Strength                              _Cedar. Fennel._

Submission                            _Grass._

Submission                            _Harebell._

Success crown your wishes             _Coronella._

Succour                               _Juniper._

Sunbeaming eyes                       _Scarlet Lychnis._

Surprise                              _Truffle._

Susceptibility                        _Wax Plant._

Suspicion                             _Champignon._

Sympathy                              _Balm._

Sympathy                              _Thrift._

Talent                                _White Pink._

Tardiness                             _Flax-leaved Goldy-locks._

Taste                                 _Scarlet Fuchsia._

Tears                                 _Helenium._

Temperance                            _Azalea._

Temptation                            _Apple._

Thankfulness                          _Agrimony._

The colour of my fate                 _Coral Honeysuckle._

The heart's mystery                   _Crimson Polyanthus._

The perfection of female loveliness   _Justicia._

The witching soul of music            _Oats._

Thoughts                              _Pansy._

Thoughts of absent friends            _Zinnia._

Thy frown wilt kill me                _Currant._

Thy smile I aspire to                 _Daily Rose._

Ties                                  _Tendrils of Climbing Plants._

Timidity                              _Amaryllis._

Timidity                              _Marvel of Peru._

Time                                  _White Poplar._

Tranquillity                          _Mudwort._

Tranquillity                          _Stonecrop._

Tranquillize my anxiety               _Christmas Rose._

Transient beauty                      _Night-blooming Cereus._

Transient impressions                 _Withered White Rose._

Transport of joy                      _Cape Jasmine._

Treachery                             _Bilberry._

True love                             _Forget Me Not._

True Friendship                       _Oak-leaved Geranium._

Truth                                 _Bittersweet Nightshade._

Truth                                 _White Chrysanthemum._

Unanimity                             _Phlox._

Unbelief                              _Judas Tree._

Unceasing remembrance                 _American Cudweed._

Unchanging friendship                 _Arbor Vitæ._

Unconscious beauty                    _Burgundy Rose._

Unexpected meeting                    _Lemon Geranium._

Unfortunate attachment                _Mourning Bride._

Unfortunate love                      _Scabious._

Union                                 _Whole Straw._

Unity                                 _White and Red Rose together._

Unpatronized merit                    _Red Primrose._

Uselessness                           _Meadowsweet._

Utility                               _Grass._

Variety                               _China Aster._

Variety                               _Mundi Rose._

Vice                                  _Darnel (Ray Grass)._

Victory                               _Palm._

Virtue                                _Mint._

Virtue, Domestic                      _Sage._

Volubility                            _Abecedary,_

Voraciousness                         _Lupine._

Vulgar Minds                          _African Marigold._

War                                   _York and Lancaster Rose._

War                                   _Achillea Millefolia._

Warlike trophy                        _Indian Cress._

Warmth of feeling                     _Peppermint._

Watchfulness                          _Dame Violet._

Weakness                              _Moschatel_

Weakness                              _Musk Plant._

Welcome to a stranger                 _American Starwort._

Widowhood                             _Sweet Scabious._

Win me and wear me                    _Lady's Slipper._

Winning grace                         _Cowslip._

Winter                                _Guelder Rose._

Wit                                   _Meadow Lychnis._

Wit ill-timed                         _Wild Sorrel._

Witchcraft                            _Enchanter's Nightshade._

Worth beyond beauty                   _Sweet Alyssum._

Worth sustained by judicious and
tender affection                      _Pink Convolvulus._

Worthy all praise                     _Fennel._

You are cold                          _Hortensia._

You are my divinity                   _American Cowslip._

You are perfect                       _Pineapple._

You are radiant with charms           _Ranunculus._

You are rich in attractions           _Garden Ranunculus._

You are the queen of coquettes        _Queen's Rocket._

You have no claims                    _Pasque Flower._

You please all                        _Branch of Currants._

You will be my death.                 _Hemlock._

Your charms are engraven on my heart  _Spindle Tree._

Your looks freeze me                  _Ice Plant._

Your presence softens my pains        _Milkvetch._

Your purity equals your loveliness    _Orange Blossoms._

Your qualities, like your charms,
are unequalled                        _Peach._

Your qualities surpass your charms    _Mignionette._

Youthful innocence                    _White Lilac._

Youthful love                         _Red Catchfly._

Zealousness                           _Elder._

Zest                                  _Lemon._
